Source,Target,Frequency per week,,Distance (Km)
Coimbatore,Bangalore,39,,224.0550786
Dehradun,Bangalore,12,,1917.723398
Delhi,Bangalore,321,,1737.515759
Goa,Bangalore,68,,494.1337541
Gorakhpur,Bangalore,7,,1647.565502
Guwahati,Bangalore,31,,2062.380488
Gwalior,Bangalore,6,,1484.825561
Hubli,Bangalore,21,,386.6229202
Hyderabad,Bangalore,224,,508.0115122
Imphal,Bangalore,20,,2150.556778
Indore,Bangalore,26,,1104.971802
Jaipur,Bangalore,33,,1554.794605
Jaisalmer,Bangalore,7,,1704.284569
Jharsuguda,Bangalore,7,,1204.433553
Jodhpur,Bangalore,7,,1555.6646
Kannur,Bangalore,19,,257.3585673
Kolhapur,Bangalore,7,,550.0314341
Kolkata,Bangalore,118,,1569.203845
Lucknow,Bangalore,39,,1571.981159
Madurai,Bangalore,26,,349.4556774
Mangalore,Bangalore,68,,301.0373118
Mumbai,Bangalore,341,,853.7157828
Mysore,Bangalore,7,,131.5781892
Nagpur,Bangalore,28,,917.043834
Patna,Bangalore,41,,1605.889557
Pondicherry,Bangalore,6,,256.8773608
Port Blair,Bangalore,20,,1642.607308
Pune,Bangalore,116,,743.5651383
Raipur,Bangalore,14,,1012.08611
Rajahmundry,Bangalore,14,,642.2490378
Ranchi,Bangalore,27,,1407.544097
Shirdi,Bangalore,19,,827.0194595
Surat,Bangalore,14,,1047.74439
Tirupathi,Bangalore,7,,216.8215718
Trichy,Bangalore,7,,268.3927196
Trivandrum,Bangalore,51,,503.3417182
Tuticorin,Bangalore,7,,471.5326661
Udaipur,Bangalore,8,,1356.555533
Vadodara,Bangalore,14,,1144.620479
Varanasi,Bangalore,27,,1492.664161
Vidyanagar,Bangalore,7,,271.9936608
Vijaywada,Bangalore,40,,521.1886165
Visakhapatnam,Bangalore,34,,798.1048179
Ahmedabad,Belgaum,7,,829.0447398
Bangalore,Belgaum,29,,460.9794455
Cuddapah,Belgaum,7,,470.4217487
Hyderabad,Belgaum,21,,446.7777976
Mumbai,Belgaum,11,,404.271115
Mysore,Belgaum,7,,451.6725444
Pune,Belgaum,7,,311.725284
Tirupathi,Belgaum,7,,584.617861
Ahmedabad,Hubli,7,,895.5309335
Bangalore,Hubli,19,,386.6229202
Chennai,Hubli,7,,607.8219952
Cochin,Hubli,7,,596.6589611
Goa,Hubli,7,,134.4667682
Hindon,Hubli,3,,1502.279385
Hyderabad,Hubli,7,,429.2485418
Kannur,Hubli,7,,386.2937894
Mumbai,Hubli,5,,476.6165756
Tirupathi,Hubli,7,,517.0596922
Bangalore,Mangalore,66,,301.0373118
Chennai,Mangalore,14,,567.033348
Delhi,Mangalore,14,,1750.36152
Hyderabad,Mangalore,14,,629.9128527
Mumbai,Mangalore,35,,714.8093241
Pune,Mangalore,7,,633.5785349
Bangalore,Vidyanagar,7,,271.9936608
Hyderabad,Vidyanagar,7,,320.1668312
Bangalore,Mysore,7,,131.5781892
Belagavi,Mysore,7,,452.4156281
Chennai,Mysore,14,,382.6175903
Cochin,Mysore,7,,241.1466188
Goa,Mysore,7,,457.6456516
Hyderabad,Mysore,14,,604.6177967
Ahmedabad,Bhopal,14,,481.1696769
Allahabad,Bhopal,7,,505.5947508
Bangalore,Bhopal,7,,1149.952209
Delhi,Bhopal,55,,587.5748137
Hyderabad,Bhopal,14,,659.3245507
Jaipur,Bhopal,14,,422.2168445
Mumbai,Bhopal,35,,657.5916211
Nagpur,Bhopal,7,,301.5793159
Pune,Bhopal,6,,632.0891538
Raipur,Bhopal,7,,510.028767
Udaipur,Bhopal,7,,379.6831634
Bangalore,Gwalior,6,,1484.825561
Delhi,Gwalior,3,,276.1549432
Hyderabad,Gwalior,7,,983.2741673
Indore,Gwalior,3,,466.0849871
Jammu,Gwalior,7,,783.1362299
Kolkata,Gwalior,7,,1110.021742
Ahmedabad,Indore,54,,326.9217614
Bangalore,Indore,28,,1104.971802
Belgaum,Indore,3,,773.8714494
Chennai,Indore,7,,1183.569868
Delhi,Indore,81,,662.1616943
Goa,Indore,14,,842.8245866
Gwalior,Indore,3,,466.0849871
Hyderabad,Indore,28,,649.1241696
Jaipur,Indore,7,,455.4439804
Kishangarh,Indore,3,,440.7851429
Kolkata,Indore,7,,1296.630247
Mumbai,Indore,37,,506.6689842
Nagpur,Indore,8,,381.5951049
Raipur,Indore,7,,635.7477166
Shirdi,Indore,7,,367.8349828
Agra,Khajuraho,3,,325.4778314
Varanasi,Khajuraho,4,,304.2568235
Ahmedabad,Jabalpur,6,,758.4527283
Delhi,Jabalpur,14,,667.8435539
Hyderabad,Jabalpur,14,,657.6465943
Kolkata,Jabalpur,14,,861.6481553
Mumbai,Jabalpur,7,,872.6195331
Ahmedabad,Bhubaneshwar,6,,1397.718078
Bangalore,Bhubaneshwar,49,,1187.719701
Chennai,Bhubaneshwar,15,,1016.579178
Delhi,Bhubaneshwar,58,,1277.805416
Guwahati,Bhubaneshwar,7,,878.640536
Hyderabad,Bhubaneshwar,28,,833.2491046
Jharsuguda,Bhubaneshwar,7,,261.0142433
Kolkata,Bhubaneshwar,50,,381.9490867
Mumbai,Bhubaneshwar,21,,1361.686898
Nagpur,Bhubaneshwar,7,,709.8403842
Ranchi,Bhubaneshwar,7,,345.5032168
Bhubaneshwar,Jharsuguda,7,,261.0142433
Raipur,Jharsuguda,7,,252.5600507
Delhi,Jharsuguda,7,,1017.084109
Hyderabad,Jharsuguda,7,,766.3780834
Kolkata,Jharsuguda,7,,459.8291075
Bangalore,Calicut,7,,274.4805779
Mumbai,Calicut,7,,944.1657439
Chennai,Calicut,7,,494.0567476
Mumbai,Calicut,7,,944.1657439
Delhi,Calicut,7,,1941.803044
Bangalore,Calicut,7,,274.4805779
Chennai,Calicut,7,,494.0567476
Agatti,Cochin,7,,468.055701
Ahmedabad,Cochin,13,,1491.899683
Bangalore,Cochin,77,,340.317321
Chennai,Cochin,76,,508.0102856
Delhi,Cochin,56,,2048.959099
Goa,Cochin,7,,644.7830863
Hubli,Cochin,7,,596.6589611
Hyderabad,Cochin,43,,841.8825426
Kannur,Cochin,14,,217.3216554
Kolkata,Cochin,14,,1890.733138
Mumbai,Cochin,56,,1063.843125
Mysore,Cochin,7,,241.1466188
Pune,Cochin,13,,974.6753283
Tirupathi,Cochin,6,,516.4955325
Trivandrum,Cochin,14,,194.0437264
Bangalore,Kannur,26,,257.3585673
Calicut,Kannur,5,,97.46981716
Chennai,Kannur,14,,508.8608738
Cochin,Kannur,14,,217.3216554
Delhi,Kannur,7,,1858.417151
Goa,Kannur,7,,427.461431
Hubli,Kannur,7,,386.2937894
Hyderabad,Kannur,21,,691.0431501
Mumbai,Kannur,7,,847.4894315
Trivandrum,Kannur,8,,410.2952953
Bangalore,Trivandrum,39,,503.3417182
Chennai,Trivandrum,41,,603.5705391
Cochin,Trivandrum,7,,194.0437264
Delhi,Trivandrum,14,,2233.27681
Hyderabad,Trivandrum,7,,1011.351569
Kannur,Trivandrum,8,,410.2952953
Mumbai,Trivandrum,28,,1257.589276
Ahmedabad,Chennai,75,,1379.684312
Andal,Chennai,7,,1407.538798
Bagdogra,Chennai,7,,1754.423406
Bangalore,Chennai,154,,265.9969946
