Airport Names	Airport(Arrival)	Frequency per week
Coimbatore	Bangalore	39
Coimbatore	Chennai	100
Coimbatore	Delhi	35
Coimbatore	Hyderabad	42
Coimbatore	Mangalore	2
Coimbatore	Mumbai	40
Coimbatore	Pune	7
Madurai	Bangalore	26
Madurai	Chennai	91
Madurai	Delhi	7
Madurai	Hyderabad	21
Madurai	Mumbai	7
Trichy	Bangalore	7
Trichy	Chennai	49
Trichy	Hyderabad	7
Tuticorin	Bangalore	7
Tuticorin	Chennai	35
Salem	Chennai	7
Dehradun	Ahmedabad	14
Dehradun	Bangalore	12
Dehradun	Delhi	59
Dehradun	Hyderabad	7
Dehradun	Jaipur	7
Dehradun	Lucknow	6
Dehradun	Mumbai	24
Dehradun	Pithoragarh	14
Dehradun	Varanashi	3
Pantnagar	Dehradun	4
Pantnagar	Pantnagar	4
Pithoragarh	Dehradun	14
Pithoragarh	Hindon	7
Delhi	Adampur	7
Delhi	Ahmedabad	74
Delhi	Allahabad	21
Delhi	Amritsar	39
Delhi	Andal	7
Delhi	Aurangabad	14
Delhi	Bagdogra	48
Delhi	Bangalore	191
Delhi	Bathinda	3
Delhi	Bhopal	34
Delhi	Bhubaneshwar	29
Delhi	Bikaner	7
Delhi	Calicut	3
Delhi	Chandigarh	80
Delhi	Chennai	77
Delhi	Raipur	11
Delhi	Cochin	56
Delhi	Coimbatore	14
Delhi	Dehradun	32
Delhi	Dharamshala	8
Delhi	Goa	81
Delhi	Gorakhpur	14
Delhi	Guwahati	72
Delhi	Gwalior	3
Delhi	Hyderabad	124
Delhi	Imphal	7
Delhi	Indore	46
Delhi	Jabalpur	14
Delhi	Jaipur	29
Delhi	Jaisalmer	7
Delhi	Jammu	50
Delhi	Jharsuguda	7
Delhi	Jodhpur	21
Delhi	Kangra	6
Delhi	Kannur	8
Delhi	Kanpur	7
Delhi	Kishangarh	7
Delhi	Kolkata	142
Delhi	Kullu	21
Delhi	Leh	29
Delhi	Lucknow	77
Delhi	Ludhiana	4
Delhi	Mangalore	7
Delhi	Mumbai	328
Delhi	Nagpur	42
Delhi	Pathankot	3
Delhi	Patna	128
Delhi	Patnagar	4
Delhi	Port Blair	3
Delhi	Pune	107
Delhi	Raipur	14
Delhi	Rajkot	15
Delhi	Ranchi	70
Delhi	Shimla	7
Delhi	Shirdi	14
Delhi	Srinagar	74
Delhi	Surat	29
Delhi	Thoise	2
Delhi	Trivandrum	14
Delhi	Udaipur	14
Delhi	Vadodara	14
Delhi	Varanashi	70
Delhi	Vijaywada	14
Delhi	Visakhapatnam	34
Dibrugarh	Bagdogra	7
Dibrugarh	Delhi	16
Dibrugarh	Guwahati	14
Dibrugarh	Kolkata	33
