Source_lat,Source_lon,Target_lat,Target_lon,Frequency per week
17.453,78.468,25.591,85.088,22
22.655,88.447,25.591,85.088,74
26.761,80.889,25.591,85.088,14
19.089,72.868,25.591,85.088,67
23.3173,85.3251,25.591,85.088,7
23.077,72.635,15.381,73.831,26
12.95,77.668,15.381,73.831,76
12.907,80.122,15.381,73.831,27
10.152,76.402,15.381,73.831,7
28.567,77.103,15.381,73.831,137
15.362,75.085,15.381,73.831,7
17.453,78.468,15.381,73.831,64
22.7281,75.8042,15.381,73.831,14
11.9171,75.547,15.381,73.831,7
22.655,88.447,15.381,73.831,7
26.761,80.889,15.381,73.831,7
19.089,72.868,15.381,73.831,148
18.582,73.92,15.381,73.831,20
21.114,72.742,15.381,73.831,21
23.077,72.635,17.453,78.468,61
31.71,74.797,17.453,78.468,7
23.6179,87.2401,17.453,78.468,4
19.863,75.398,17.453,78.468,14
26.681,88.329,17.453,78.468,7
12.95,77.668,17.453,78.468,199
15.8631,74.6114,17.453,78.468,23
23.287,77.337,17.453,78.468,14
20.244,85.818,17.453,78.468,29
30.673,76.789,17.453,78.468,25
12.907,80.122,17.453,78.468,127
10.152,76.402,17.453,78.468,44
11.03,77.043,17.453,78.468,36
14.51,78.773,17.453,78.468,7
30.19,78.18,17.453,78.468,7
28.567,77.103,17.453,78.468,212
15.381,73.831,17.453,78.468,69
26.74,83.45,17.453,78.468,7
26.106,91.586,17.453,78.468,10
26.293,78.228,17.453,78.468,7
15.362,75.085,17.453,78.468,8
22.7281,75.8042,17.453,78.468,29
23.178,80.052,17.453,78.468,16
19.074,82.037,17.453,78.468,7
26.824,75.812,17.453,78.468,46
21.914,84.05,17.453,78.468,7
11.9171,75.547,17.453,78.468,21
26.5894,74.8171,17.453,78.468,8
16.665,74.289,17.453,78.468,14
22.655,88.447,17.453,78.468,79
26.761,80.889,17.453,78.468,22
9.835,78.093,17.453,78.468,21
12.961,74.89,17.453,78.468,15
19.089,72.868,17.453,78.468,165
12.307,76.65,17.453,78.468,15
21.0901,79.0548,17.453,78.468,7
19.1833,77.3347,17.453,78.468,7
20.1129,73.8938,17.453,78.468,7
25.591,85.088,17.453,78.468,21
11.969,79.81,17.453,78.468,7
11.641,92.73,17.453,78.468,7
18.582,73.92,17.453,78.468,34
21.18,81.739,17.453,78.468,28
17.11,81.818,17.453,78.468,51
23.3173,85.3251,17.453,78.468,7
19.6924,74.3941,17.453,78.468,32
21.114,72.742,17.453,78.468,15
13.634,79.5443,17.453,78.468,63
10.7618,78.709,17.453,78.468,8
8.4834,76.9198,17.453,78.468,21
24.618,73.896,17.453,78.468,7
22.336,73.226,17.453,78.468,7
25.452,82.859,17.453,78.468,28
15.1785,76.6282,17.453,78.468,7
16.53,80.797,17.453,78.468,80
17.7285,83.2236,17.453,78.468,66
23.887,91.24,24.76,93.897,6
23.841,92.62,24.76,93.897,4
12.95,77.668,24.76,93.897,13
28.567,77.103,24.76,93.897,9
26.106,91.586,24.76,93.897,44
22.655,88.447,24.76,93.897,27
28.567,77.103,28.0556,73.1963,7
27.156,77.961,26.824,75.812,4
23.077,72.635,26.824,75.812,34
31.71,74.797,26.824,75.812,7
12.95,77.668,26.824,75.812,47
23.287,77.337,26.824,75.812,14
12.907,80.122,26.824,75.812,14
30.19,78.18,26.824,75.812,7
28.567,77.103,26.824,75.812,59
26.106,91.586,26.824,75.812,14
17.453,78.468,26.824,75.812,42
22.7281,75.8042,26.824,75.812,7
26.889,70.865,26.824,75.812,7
22.655,88.447,26.824,75.812,46
19.089,72.868,26.824,75.812,64
18.582,73.92,26.824,75.812,21
21.114,72.742,26.824,75.812,10
24.618,73.896,26.824,75.812,17
25.452,82.859,26.824,75.812,11
23.077,72.635,26.889,70.865,12
12.95,77.668,26.889,70.865,7
19.089,72.868,26.889,70.865,7
28.567,77.103,26.889,70.865,7
26.824,75.812,26.889,70.865,7
21.114,72.742,26.889,70.865,7
23.077,72.635,26.251,73.049,13
12.95,77.668,26.251,73.049,7
28.567,77.103,26.251,73.049,35
19.089,72.868,26.251,73.049,28
18.582,73.92,26.251,73.049,6
23.077,72.635,26.5894,74.8171,6
28.567,77.103,26.5894,74.8171,7
17.453,78.468,26.5894,74.8171,7
23.077,72.635,24.618,73.896,7
19.863,75.398,24.618,73.896,3
12.95,77.668,24.618,73.896,7
23.287,77.337,24.618,73.896,7
28.567,77.103,24.618,73.896,59
17.453,78.468,24.618,73.896,7
26.824,75.812,24.618,73.896,24
19.089,72.868,24.618,73.896,35
21.114,72.742,24.618,73.896,7
30.2715,74.7458,32.689,74.837,3
28.567,77.103,32.689,74.837,56
26.293,78.228,32.689,74.837,7
34.1425,77.5555,32.689,74.837,10
26.761,80.889,32.689,74.837,7
19.089,72.868,32.689,74.837,90
33.987,74.774,32.689,74.837,53
31.71,74.797,33.987,74.774,14
30.673,76.789,33.987,74.774,18
28.567,77.103,33.987,74.774,96
32.689,74.837,33.987,74.774,142
34.1425,77.5555,33.987,74.774,2
19.089,72.868,33.987,74.774,10
23.077,72.635,19.863,75.398,7
28.567,77.103,19.863,75.398,21
17.453,78.468,19.863,75.398,14
19.089,72.868,19.863,75.398,17
24.618,73.896,19.863,75.398,3
12.95,77.668,16.665,74.289,7
17.453,78.468,16.665,74.289,14
19.089,72.868,16.665,74.289,5
13.634,79.5443,16.665,74.289,7
23.077,72.635,19.089,72.868,90
25.44,81.734,19.089,72.868,7
31.71,74.797,19.089,72.868,19
23.6179,87.2401,19.089,72.868,7
19.863,75.398,19.089,72.868,10
26.681,88.329,19.089,72.868,21
12.95,77.668,19.089,72.868,261
15.8631,74.6114,19.089,72.868,7
15.859,74.618,19.089,72.868,4
21.752,72.185,19.089,72.868,7
23.287,77.337,19.089,72.868,28
20.244,85.818,19.089,72.868,28
23.288,69.67,19.089,72.868,7
11.137,75.955,19.089,72.868,14
30.673,76.789,19.089,72.868,56
12.907,80.122,19.089,72.868,154
10.152,76.402,19.089,72.868,56
11.03,77.043,19.089,72.868,43
30.19,78.18,19.089,72.868,31
28.567,77.103,19.089,72.868,457
